"publication_year per year","contributors.contributorType: Descending",Count
2011,ProjectLeader,"3,105"
2011,Supervisor,"2,635"
2011,Distributor,"2,130"
2011,RightsHolder,"2,017"
2011,RegistrationAgency,"1,204"
2011,Sponsor,"1,102"
2011,ResearchGroup,157
2011,ProjectMember,90
2011,Funder,52
2011,WorkPackageLeader,11
2011,ProjectManager,7
2011,RegistrationAuthority,1
2012,HostingInstitution,"40,481"
2012,DataManager,"22,941"
2012,ContactPerson,"11,626"
2012,Researcher,"10,743"
2012,DataCollector,"9,256"
2012,Other,"8,629"
2012,Producer,"7,506"
2012,Editor,"7,312"
2012,RelatedPerson,"7,121"
2012,DataCurator,"6,543"
2012,ProjectLeader,"6,327"
2012,Supervisor,"3,304"
2012,RightsHolder,"1,699"
2012,Distributor,"1,466"
2012,Sponsor,"1,340"
2012,RegistrationAgency,"1,217"
2012,ResearchGroup,438
2012,ProjectMember,93
2012,Funder,33
2012,WorkPackageLeader,8
2012,ProjectManager,5
2012,RegistrationAuthority,2
2013,DataCollector,"60,828"
2013,DataManager,"36,657"
2013,HostingInstitution,"31,879"
2013,Distributor,"24,635"
2013,ContactPerson,"21,359"
2013,Other,"10,440"
2013,Researcher,"10,232"
2013,Editor,"9,139"
2013,RelatedPerson,"6,767"
2013,Producer,"4,840"
2013,DataCurator,"4,528"
2013,ProjectLeader,"4,207"
2013,Supervisor,"3,971"
2013,Sponsor,"2,974"
2013,RightsHolder,"2,189"
2013,RegistrationAgency,"1,136"
2013,Funder,778
2013,ResearchGroup,514
2013,ProjectMember,124
2013,ProjectManager,6
2013,WorkPackageLeader,6
2014,DataCollector,"367,531"
2014,Distributor,"342,015"
2014,Researcher,"159,034"
2014,HostingInstitution,"43,026"
2014,DataManager,"36,020"
2014,Editor,"16,431"
2014,Other,"15,029"
2014,ResearchGroup,"14,207"
2014,ContactPerson,"10,111"
2014,RelatedPerson,"7,840"
2014,Producer,"5,794"
2014,Supervisor,"4,739"
2014,ProjectLeader,"4,225"
2014,DataCurator,"3,016"
2014,RightsHolder,"1,971"
2014,Sponsor,"1,311"
2014,RegistrationAgency,"1,156"
2014,Funder,87
2014,ProjectMember,74
2014,ProjectManager,12
2014,WorkPackageLeader,12
2014,RegistrationAuthority,1
